timestamp_ms,update_count,mid_price,best_bid,best_ask,spread,latency_ns,num_updates,imbalance,buy_aggression,sell_aggression,aggression_ratio,nearest_ask_wall_price,nearest_ask_wall_qty,nearest_bid_wall_price,nearest_bid_wall_qty,wall_event
1772057265069,43,68978.29,68978.29,68978.30,0.01,35118,55,0.6265,678.5392,482.0573,0.5846,69076.46,7.24,68941.31,6.13,[WALL APPEARED] ASK $69127.100  7.24 BTC
1772057266067,44,68978.29,68978.29,68978.30,0.01,305676,275,0.0044,693.8914,510.8957,0.5759,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69127.100  was 7.24 BTC << SPOOF?
1772057267070,45,68974.51,68974.51,68974.52,0.01,267617,175,0.0003,702.6271,522.4178,0.5736,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69127.100  was 7.24 BTC << SPOOF?
1772057268077,46,68974.51,68974.51,68974.52,0.01,336694,379,0.4894,720.5035,541.2284,0.5710,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69127.100  was 7.24 BTC << SPOOF?
1772057269070,47,68974.51,68974.51,68974.52,0.01,234890,229,0.9868,744.0161,546.8010,0.5764,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69107.140  was 7.24 BTC << SPOOF?
1772057270065,48,68974.51,68974.51,68974.52,0.01,49244,57,0.7912,749.5189,546.8267,0.5782,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69107.140  was 7.24 BTC << SPOOF?
1772057271066,49,68974.52,68974.52,68974.53,0.01,201831,121,0.9996,768.9370,557.0459,0.5799,69076.46,7.24,68941.31,6.13,[WALL APPEARED] ASK $69107.750  7.24 BTC
1772057272067,50,68974.52,68974.52,68974.53,0.01,125821,122,0.8030,781.5642,565.3945,0.5802,69076.46,7.24,68941.31,6.13,[WALL APPEARED] ASK $70888.000  5.32 BTC
1772057273063,51,68974.52,68974.52,68974.53,0.01,89635,96,0.4917,785.9681,576.6542,0.5768,69076.46,7.24,68941.31,6.13,[WALL APPEARED] BID $64000.000  37.0 BTC
1772057274065,52,68974.52,68974.52,68974.53,0.01,74535,35,0.4623,786.3728,579.0803,0.5759,69076.46,7.24,68941.31,6.13,[WALL APPEARED] BID $64000.000  37.0 BTC
1772057275069,53,68974.52,68974.52,68974.53,0.01,26975,26,0.5311,786.4079,583.8934,0.5739,69076.46,7.24,68941.31,6.13,[WALL APPEARED] BID $64000.000  37.0 BTC
1772057276065,54,68974.52,68974.52,68974.53,0.01,51977,24,0.5377,788.4951,586.1809,0.5736,69076.46,7.24,68941.31,6.13,[WALL APPEARED] BID $64000.000  37.0 BTC
1772057277068,55,68978.29,68978.29,68978.30,0.01,407478,277,0.9963,826.0791,601.8136,0.5785,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69107.780  was 7.24 BTC << SPOOF?
1772057278078,56,68980.24,68980.24,68980.25,0.01,282926,449,0.7008,839.1838,617.6753,0.5760,69076.46,7.24,68941.31,6.13,[WALL APPEARED] ASK $69123.740  7.24 BTC
1772057279071,57,68980.26,68980.25,68980.26,0.01,282867,373,0.9992,885.0521,629.1793,0.5845,69076.46,7.24,68941.31,6.13,[WALL APPEARED] ASK $69123.740  7.24 BTC
1772057280070,58,68980.26,68980.25,68980.26,0.01,265241,281,0.9992,887.4861,636.8936,0.5822,69076.46,7.24,68941.31,6.13,[WALL APPEARED] ASK $69123.740  7.24 BTC
1772057281076,59,68991.99,68991.99,68992.00,0.01,727131,1046,0.9989,961.4087,683.0820,0.5846,69076.46,7.24,68941.31,6.13,[WALL GONE !!!] ASK $69145.080  was 6.51 BTC << SPOOF?
1772057282075,60,68998.43,68998.42,68998.43,0.01,669537,953,0.9829,1008.5342,728.6854,0.5805,69076.46,7.24,68971.82,6.13,[WALL APPEARED] ASK $69176.660  6.51 BTC
1772057283079,61,69016.08,69016.07,69016.08,0.01,546150,1530,0.7486,1089.1922,782.4514,0.5819,69176.66,6.52,68971.82,6.13,[WALL APPEARED] ASK $69187.860  7.22 BTC
1772057284069,62,69016.08,69016.07,69016.08,0.01,217123,506,0.5915,1101.3375,818.2398,0.5737,69176.66,6.52,68971.82,6.13,[WALL GONE !!!] BID $68933.120  was 6.30 BTC << SPOOF?
1772057285063,63,69016.08,69016.07,69016.08,0.01,69118,125,0.5361,1105.6875,821.1979,0.5738,69176.66,6.52,68971.82,6.13,[WALL GONE !!!] BID $68933.120  was 6.30 BTC << SPOOF?
1772057286084,64,69028.76,69028.75,69028.76,0.01,728963,1167,0.6145,1200.6072,859.7799,0.5827,69176.66,6.52,68971.82,6.13,[WALL GONE !!!] BID $68933.120  was 6.30 BTC << SPOOF?
1772057287069,65,69028.76,69028.75,69028.76,0.01,431871,288,0.4891,1207.7216,899.2866,0.5732,69176.66,6.52,68971.82,6.13,[WALL GONE !!!] BID $68941.310  was 6.21 BTC << SPOOF?
